condition_id,pipeline,tp,tn,fp,fn,n,positives,negatives,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
P1_DIRECT,probability_postprocess::isotonic_0.5,87,2,28,9,126,96,30,0.7063492063492064,0.4864583333333333,0.7565217391304347,0.90625,0.06666666666666667,0.8246445497630331,-0.04086514987502555,-0.03462050599201083,0.9126984126984127,0.22344424892399306,1.3408181767399785,0.14475777823424057,0.5279513888888888,0.7829780194108691,0.7351937745535414
P1_DIRECT,probability_postprocess::isotonic_tuned_threshold,27,24,6,69,126,96,30,0.40476190476190477,0.540625,0.8181818181818182,0.28125,0.8,0.4186046511627907,0.07870841545067844,0.047186932849364926,0.2619047619047619,0.22344424892399306,1.3408181767399785,0.14475777823424057,0.5279513888888888,0.7829780194108691,0.7351937745535414
P1_DIRECT,probability_postprocess::platt_0.5,85,2,28,11,126,96,30,0.6904761904761905,0.47604166666666664,0.7522123893805309,0.8854166666666666,0.06666666666666667,0.8133971291866029,-0.06709218635868129,-0.05950840879689512,0.8968253968253969,0.20749419740435707,0.6205903309157456,0.14985104746860828,0.5303819444444444,0.7999317662375115,0.7343805359761341
P1_DIRECT,probability_postprocess::platt_tuned_threshold,30,24,6,66,126,96,30,0.42857142857142855,0.55625,0.8333333333333334,0.3125,0.8,0.45454545454545453,0.10606601717798213,0.06666666666666665,0.2857142857142857,0.20749419740435707,0.6205903309157456,0.14985104746860828,0.5303819444444444,0.7999317662375115,0.7343805359761341
P1_DIRECT,probability_postprocess::raw_0.5,51,21,9,45,126,96,30,0.5714285714285714,0.615625,0.85,0.53125,0.7,0.6538461538461539,0.19721066262893963,0.16371681415929196,0.47619047619047616,0.32120238095238096,0.9492050183645584,0.31753968253968246,0.6357638888888888,0.8488475257575555,0.45325396825396824
P1_DIRECT,probability_postprocess::raw_tuned_threshold,30,24,6,66,126,96,30,0.42857142857142855,0.55625,0.8333333333333334,0.3125,0.8,0.45454545454545453,0.10606601717798213,0.06666666666666665,0.2857142857142857,0.32120238095238096,0.9492050183645584,0.31753968253968246,0.6357638888888888,0.8488475257575555,0.45325396825396824
P1_DIRECT,probability_postprocess::stacked_logistic_0.5,85,2,28,11,126,96,30,0.6904761904761905,0.47604166666666664,0.7522123893805309,0.8854166666666666,0.06666666666666667,0.8133971291866029,-0.06709218635868129,-0.05950840879689512,0.8968253968253969,0.20749956367740535,0.6206531871528417,0.14986542738030928,0.5303819444444444,0.7999317662375115,0.7343991227028862
P1_DIRECT,probability_postprocess::stacked_logistic_tuned_threshold,30,24,6,66,126,96,30,0.42857142857142855,0.55625,0.8333333333333334,0.3125,0.8,0.45454545454545453,0.10606601717798213,0.06666666666666665,0.2857142857142857,0.20749956367740535,0.6206531871528417,0.14986542738030928,0.5303819444444444,0.7999317662375115,0.7343991227028862
P2_D1_OLD,probability_postprocess::evidence_gate_tuned,47,21,9,49,126,96,30,0.5396825396825397,0.5947916666666666,0.8392857142857143,0.4895833333333333,0.7,0.618421052631579,0.1625,0.13000000000000012,0.4444444444444444,0.2576717346671921,0.7150648768496156,0.2449982860186523,0.6743055555555556,0.8756728538801801,0.5221230925449204
P2_D1_OLD,probability_postprocess::isotonic_0.5,74,7,23,22,126,96,30,0.6428571428571429,0.5020833333333333,0.7628865979381443,0.7708333333333334,0.23333333333333334,0.7668393782383419,0.004215995475058804,0.004214963119072657,0.7698412698412699,0.22578214598736265,0.7032413963098825,0.17210827798897346,0.657638888888889,0.875075981004546,0.6970048939686987
P2_D1_OLD,probability_postprocess::isotonic_tuned_threshold,47,23,7,49,126,96,30,0.5555555555555556,0.628125,0.8703703703703703,0.4895833333333333,0.7666666666666667,0.6266666666666667,0.2205448849923668,0.17299578059071719,0.42857142857142855,0.22578214598736265,0.7032413963098825,0.17210827798897346,0.657638888888889,0.875075981004546,0.6970048939686987
P2_D1_OLD,probability_postprocess::platt_0.5,75,7,23,21,126,96,30,0.6507936507936508,0.5072916666666667,0.7653061224489796,0.78125,0.23333333333333334,0.7731958762886598,0.014940357616679922,0.01492537313432829,0.7777777777777778,0.22520049982771076,0.6361589228705509,0.1591147838602204,0.6130208333333333,0.862175984391593,0.6762488977041629
P2_D1_OLD,probability_postprocess::platt_tuned_threshold,47,21,9,49,126,96,30,0.5396825396825397,0.5947916666666666,0.8392857142857143,0.4895833333333333,0.7,0.618421052631579,0.1625,0.13000000000000012,0.4444444444444444,0.22520049982771076,0.6361589228705509,0.1591147838602204,0.6130208333333333,0.862175984391593,0.6762488977041629
