provider,model,condition_id,definition_id,prompt_style,label_space,seed,label_family,task,method,n,classes_in_gold,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa,log_loss,multiclass_brier,top2_accuracy
ensemble_arithmetic_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.21694197665220621,0.06531001171112086,1.0
ensemble_arithmetic_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.1451672136054636,0.029105953783950617,1.0
ensemble_logit_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.1588553250787984,0.03673310261955925,1.0
ensemble_logit_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.10676477822934265,0.01627074236945703,1.0
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.07322930215262814,0.008757499999999998,1.0
gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.0764918248842357,0.011264999999999989,1.0
openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.07978581984376962,0.010695865999999998,1.0
openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,1.0,0.2,1.0,0.2,0.2,,0.051111032049175976,0.004756724499999998,1.0
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,0.6,0.1875,0.75,0.25,0.15,0.0,0.690971795817201,0.3511596,0.8
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,0.9,0.23684210526315788,0.9473684210526315,0.25,0.225,0.0,0.36955250812081925,0.1504178,1.0
ensemble_arithmetic_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.21694197665220621,0.06433961402469138,1.0
ensemble_arithmetic_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.1451672136054636,0.03034755074074074,1.0
ensemble_logit_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.15885532507879838,0.03662281814191469,1.0
ensemble_logit_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.10676477822934265,0.016846889451544243,1.0
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.07322930215262809,0.009242999999999998,1.0
gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.07649182488423573,0.011712735999999993,1.0
openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.07978581984376962,0.01031164,1.0
openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_depth,joint_end_to_end,raw_argmax,10,1,1.0,0.25,1.0,0.25,0.25,,0.05111103204917596,0.004524370499999996,1.0
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,0.6,0.25,0.75,0.3333333333333333,0.19999999999999998,0.0,0.690971795817201,0.40471124999999997,0.9
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,0.9,0.3157894736842105,0.9473684210526315,0.3333333333333333,0.3,0.0,0.36955250812081925,0.16402375000000005,0.9
ensemble_arithmetic_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.21694197665220621,0.07682791767901234,1.0
ensemble_arithmetic_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.1451672136054636,0.034684245333333336,1.0
ensemble_logit_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.1588553250787984,0.04360521864173589,1.0
ensemble_logit_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.10676477822934265,0.019336845809750543,1.0
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.07322930215262816,0.010450000000000004,1.0
gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.07649182488423581,0.012940000000000002,1.0
openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.0797858198437696,0.012158761999999998,1.0
openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_nature,joint_end_to_end,raw_argmax,10,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.051111032049175976,0.005479691999999997,1.0
