provider,model,condition_id,definition_id,prompt_style,label_space,seed,method,n,positives,negatives,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,isotonic_tuned_threshold,42,32,10,14,7,3,18,0.5,0.56875,0.8235294117647058,0.4375,0.7,0.5714285714285714,0.11931175180026089,0.0907216494845361,0.40476190476190477,0.20630946712537498,0.8668196052842004,0.15782103716743615,0.515625,0.7723398109243698,0.7318846547093144
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,platt_0.5,42,32,10,26,2,8,6,0.6666666666666666,0.50625,0.7647058823529411,0.8125,0.2,0.7878787878787878,0.01355815361366601,0.01342281879194629,0.8095238095238095,0.2235946835400792,0.6420491294354017,0.2399776509017546,0.571875,0.8085830469075628,0.6767056170951117
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,platt_tuned_threshold,42,32,10,13,9,1,19,0.5238095238095238,0.653125,0.9285714285714286,0.40625,0.9,0.5652173913043478,0.2766992952647332,0.18918918918918914,0.3333333333333333,0.2235946835400792,0.6420491294354017,0.2399776509017546,0.571875,0.8085830469075628,0.6767056170951117
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,raw_0.5,42,32,10,13,9,1,19,0.5238095238095238,0.653125,0.9285714285714286,0.40625,0.9,0.5652173913043478,0.2766992952647332,0.18918918918918914,0.3333333333333333,0.3258047619047619,0.9135070107961244,0.35857142857142854,0.6390625,0.8501103737473895,0.40333333333333327
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,raw_tuned_threshold,42,32,10,14,7,3,18,0.5,0.56875,0.8235294117647058,0.4375,0.7,0.5714285714285714,0.11931175180026089,0.0907216494845361,0.40476190476190477,0.3258047619047619,0.9135070107961244,0.35857142857142854,0.6390625,0.8501103737473895,0.40333333333333327
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,stacked_logistic_0.5,42,32,10,26,2,8,6,0.6666666666666666,0.50625,0.7647058823529411,0.8125,0.2,0.7878787878787878,0.01355815361366601,0.01342281879194629,0.8095238095238095,0.22557546052769423,0.6468712234645229,0.24128760824425932,0.5750000000000001,0.8323426068826263,0.6763614359820046
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,stacked_logistic_tuned_threshold,42,32,10,14,8,2,18,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.38095238095238093,0.22557546052769423,0.6468712234645229,0.24128760824425932,0.5750000000000001,0.8323426068826263,0.6763614359820046
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,evidence_gate_tuned,42,32,10,11,7,3,21,0.42857142857142855,0.521875,0.7857142857142857,0.34375,0.7,0.4782608695652174,0.03952847075210474,0.027027027027026973,0.3333333333333333,0.34307982107158097,0.9418580662535437,0.40115693457892215,0.58125,0.8530751553971432,0.3935730105541566
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,isotonic_0.5,42,32,10,23,2,8,9,0.5952380952380952,0.459375,0.7419354838709677,0.71875,0.2,0.7301587301587301,-0.07870841545067846,-0.0785498489425982,0.7380952380952381,0.3425226596454999,3.3273797092430097,0.2976272857230071,0.5078125,0.7949022000565931,0.6116692902407117
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,isotonic_tuned_threshold,42,32,10,11,7,3,21,0.42857142857142855,0.521875,0.7857142857142857,0.34375,0.7,0.4782608695652174,0.03952847075210474,0.027027027027026973,0.3333333333333333,0.3425226596454999,3.3273797092430097,0.2976272857230071,0.5078125,0.7949022000565931,0.6116692902407117
