condition_id,provider,definition_id,prompt_style,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P2_D3_ADAPTIVE,openai,D3_provisional_adaptive,P2_simple_definition,21,16,5,1,20,1,5,0,15,0.2857142857142857,0.53125,1.0,0.0625,1.0,0.11764705882352941,0.125,0.03076923076923066,0.25,0.6149619047619046,1.0,0.9523809523809523,0.9523809523809523,0.9323809523809523,23775,3323,0.12410250000000002,2.739235847809531
P3_D1_OLD,anthropic,D1_old_broad,P3_evidence_checklist,21,16,5,12,9,8,1,4,8,0.42857142857142855,0.35,0.6666666666666666,0.5,0.2,0.5714285714285714,-0.25819888974716115,-0.23529411764705888,0.1111111111111111,0.4095809523809523,1.0,0.7619047619047619,0.8571428571428571,0.8123809523809523,39777,4788,0.06371700000000001,3.2322566894761815
P3_D1_OLD,gemini,D1_old_broad,P3_evidence_checklist,21,16,5,9,12,7,3,2,9,0.47619047619047616,0.51875,0.7777777777777778,0.4375,0.6,0.56,0.032274861218395144,0.025316455696202445,0.25,0.49952380952380954,1.0,0.9523809523809523,0.9523809523809523,0.9571428571428572,14361,5504,0.011846250000000001,2.142571410190461
P3_D1_OLD,openai,D1_old_broad,P3_evidence_checklist,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.4335142857142857,1.0,0.9523809523809523,0.9523809523809523,0.8847619047619046,23271,4242,0.1363125,2.605525122285734
P3_D2_CURRENT,anthropic,D2_current_strict,P3_evidence_checklist,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.4239761904761905,1.0,0.8571428571428571,0.9047619047619048,0.89,39903,4639,0.063098,2.7248292091428215
P3_D2_CURRENT,gemini,D2_current_strict,P3_evidence_checklist,21,16,5,4,17,4,5,0,12,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5552380952380952,1.0,0.9523809523809523,0.9523809523809523,0.9714285714285713,14445,5222,0.011444250000000001,1.6389290322380627
P3_D2_CURRENT,openai,D2_current_strict,P3_evidence_checklist,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.576,1.0,0.9523809523809523,0.9523809523809523,0.9266666666666667,23334,4208,0.135999375,2.809853562000014
P3_D3_ADAPTIVE,anthropic,D3_provisional_adaptive,P3_evidence_checklist,21,16,5,7,14,6,4,1,10,0.47619047619047616,0.5875,0.8571428571428571,0.375,0.8,0.5217391304347826,0.15811388300841897,0.108108108108108,0.2857142857142857,0.4183523809523809,1.0,0.7619047619047619,0.8571428571428571,0.8571428571428571,42234,4708,0.06577399999999999,2.079598297666691
P3_D3_ADAPTIVE,gemini,D3_provisional_adaptive,P3_evidence_checklist,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5080952380952382,1.0,0.9047619047619048,0.9047619047619048,0.9666666666666666,16566,5320,0.0121215,1.7269245505238013
P3_D3_ADAPTIVE,openai,D3_provisional_adaptive,P3_evidence_checklist,21,16,5,1,20,1,5,0,15,0.2857142857142857,0.53125,1.0,0.0625,1.0,0.11764705882352941,0.125,0.03076923076923066,0.25,0.6463666666666666,1.0,1.0,1.0,0.9461904761904762,25476,4947,0.153778125,3.1732459897619245
