condition_id,provider,document_id,document_title,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P2_D2_CURRENT,openai,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,2,19,2,5,0,14,0.3333333333333333,0.5625,1.0,0.125,1.0,0.2222222222222222,0.18136906252750293,0.06369426751592355,0.2631578947368421,0.6090047619047618,1.0,0.9047619047619048,0.9047619047619048,0.9395238095238095,21633,2696,0.10002749999999998,2.5988034327619
P2_D2_CURRENT,openai,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.3777785714285714,1.0,0.9285714285714286,0.9285714285714286,0.9278571428571428,15137,2248,0.077845625,2.385282207785711
P2_D2_CURRENT,openai,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,1,6,1,1,0,5,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.05405405405405417,0.16666666666666666,0.5824857142857144,1.0,1.0,1.0,0.9142857142857144,7042,851,0.0310275,1.9551125397143292
P2_D3_ADAPTIVE,anthropic,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,10,11,8,3,2,8,0.5238095238095238,0.55,0.8,0.5,0.6,0.6153846153846154,0.08528028654224416,0.07079646017699126,0.2727272727272727,0.40682380952380953,1.0,0.8095238095238095,0.9047619047619048,0.8623809523809525,38622,3107,0.054157000000000004,2.346589534857133
P2_D3_ADAPTIVE,anthropic,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.4014642857142857,1.0,0.8571428571428571,1.0,0.9007142857142855,26523,1705,0.035048,1.7859365588571532
P2_D3_ADAPTIVE,anthropic,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,0,7,0,1,0,6,0.14285714285714285,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.7498857142857143,1.0,1.0,1.0,0.9371428571428572,12684,516,0.015264000000000003,1.291314640714258
P2_D3_ADAPTIVE,gemini,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5080952380952382,1.0,0.9523809523809523,0.9523809523809523,0.9666666666666666,16125,3604,0.009437249999999998,1.3756120303332864
P2_D3_ADAPTIVE,gemini,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,2,12,2,4,0,8,0.42857142857142855,0.6,1.0,0.2,1.0,0.3333333333333333,0.2581988897471611,0.125,0.3333333333333333,0.5608928571428572,1.0,1.0,1.0,0.9678571428571429,11469,2420,0.0064972499999999996,1.2918371513571205
P2_D3_ADAPTIVE,gemini,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,1,6,1,1,0,5,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.05405405405405417,0.16666666666666666,0.6614285714285714,1.0,0.8571428571428571,0.8571428571428571,0.9571428571428572,5199,966,0.0027487500000000003,1.249053527857216
P2_D3_ADAPTIVE,openai,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,1,20,1,5,0,15,0.2857142857142857,0.53125,1.0,0.0625,1.0,0.11764705882352941,0.125,0.03076923076923066,0.25,0.6149619047619046,1.0,0.9523809523809523,0.9523809523809523,0.9323809523809523,23775,3323,0.12410250000000002,2.739235847809531
