contrast,treatment,control,threshold_mode,provider,run_name,requested_model,evaluation_scope,target_family,treatment_threshold,control_threshold,accuracy_treatment,accuracy_control,delta_accuracy,recall_treatment,recall_control,delta_recall,precision_treatment,precision_control,delta_precision,f1_treatment,f1_control,delta_f1,specificity_treatment,specificity_control,delta_specificity,auroc_treatment,auroc_control,delta_auroc,prediction_coverage_treatment,prediction_coverage_control,delta_prediction_coverage
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,old_gold_test_only__drop_kyle_only,old_gold,0.08,0.15,0.7205882352941176,0.7205882352941176,0.0,1.0,1.0,0.0,0.7205882352941176,0.7205882352941176,0.0,0.8376068376068376,0.8376068376068376,0.0,0.0,0.0,0.0,0.6380236305048335,0.6245972073039743,0.013426423200859183,1.0,1.0,0.0
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,pooled_coder_labels,pooled_coder_decisions,0.05,0.12,0.7377049180327869,0.7377049180327869,0.0,1.0,1.0,0.0,0.7377049180327869,0.7377049180327869,0.0,0.8490566037735849,0.8490566037735849,0.0,0.0,0.0,0.0,0.6529513888888888,0.6454861111111112,0.0074652777777776125,1.0,1.0,0.0
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,0.08,0.15,0.7456140350877193,0.7456140350877193,0.0,1.0,1.0,0.0,0.7456140350877193,0.7456140350877193,0.0,0.8542713567839196,0.8542713567839196,0.0,0.0,0.0,0.0,0.6584178498985801,0.6634888438133876,-0.005070993914807476,1.0,1.0,0.0
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.15,0.05,0.6666666666666666,0.5921052631578947,0.07456140350877194,0.8444444444444444,0.9782608695652174,-0.13381642512077296,0.6785714285714286,0.6,0.07857142857142863,0.7524752475247525,0.743801652892562,0.008673594632190529,0.4,0.0,0.4,0.6844444444444444,0.5880434782608696,0.09640096618357485,0.9868421052631579,1.0,-0.013157894736842146
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.15,0.1,0.6716417910447762,0.6323529411764706,0.03928884986830561,0.9,0.975609756097561,-0.07560975609756093,0.6666666666666666,0.625,0.04166666666666663,0.7659574468085106,0.7619047619047619,0.004052684903748771,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.700925925925926,0.5962059620596205,0.10471996386630544,0.9852941176470589,1.0,-0.014705882352941124
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_anmol,individual_coder,0.1,0.05,0.7307692307692307,0.7358490566037735,-0.005079825834542806,1.0,1.0,0.0,0.7307692307692307,0.7358490566037735,-0.005079825834542806,0.8444444444444444,0.8478260869565217,-0.0033816425120772875,0.0,0.0,0.0,0.5676691729323309,0.532051282051282,0.03561789088104883,0.9811320754716981,1.0,-0.018867924528301883
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_anmol__drop_kyle_only,individual_coder,0.1,0.05,0.7307692307692307,0.7358490566037735,-0.005079825834542806,1.0,1.0,0.0,0.7307692307692307,0.7358490566037735,-0.005079825834542806,0.8444444444444444,0.8478260869565217,-0.0033816425120772875,0.0,0.0,0.0,0.5676691729323309,0.532051282051282,0.03561789088104883,0.9811320754716981,1.0,-0.018867924528301883
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_kyle,individual_coder,0.05,0.05,0.9,0.8823529411764706,0.01764705882352946,1.0,0.9782608695652174,0.021739130434782594,0.9,0.9,0.0,0.9473684210526315,0.9375,0.009868421052631526,0.0,0.0,0.0,0.7466666666666667,0.6847826086956522,0.06188405797101448,0.9803921568627451,1.0,-0.019607843137254943
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_kyle__drop_kyle_only,individual_coder,0.1,0.1,0.9523809523809523,0.9767441860465116,-0.02436323366555926,1.0,1.0,0.0,0.9523809523809523,0.9761904761904762,-0.023809523809523836,0.975609756097561,0.9879518072289156,-0.01234205113135467,0.0,0.5,-0.5,0.5375,0.6463414634146342,-0.10884146341463419,0.9767441860465116,1.0,-0.023255813953488413
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_prerana,individual_coder,0.5,0.3,0.8888888888888888,0.9444444444444444,-0.05555555555555558,0.6,0.8,-0.20000000000000007,1.0,1.0,0.0,0.75,0.8888888888888888,-0.13888888888888884,1.0,1.0,0.0,0.7999999999999999,0.8461538461538461,-0.04615384615384621,1.0,1.0,0.0
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_prerana__drop_kyle_only,individual_coder,0.5,0.3,0.8888888888888888,0.9444444444444444,-0.05555555555555558,0.6,0.8,-0.20000000000000007,1.0,1.0,0.0,0.75,0.8888888888888888,-0.13888888888888884,1.0,1.0,0.0,0.7999999999999999,0.8461538461538461,-0.04615384615384621,1.0,1.0,0.0
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,new_gold_test_only,new_gold,0.15,0.05,0.6666666666666666,0.5921052631578947,0.07456140350877194,0.8444444444444444,0.9782608695652174,-0.13381642512077296,0.6785714285714286,0.6,0.07857142857142863,0.7524752475247525,0.743801652892562,0.008673594632190529,0.4,0.0,0.4,0.6844444444444444,0.5880434782608696,0.09640096618357485,0.9868421052631579,1.0,-0.013157894736842146
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,new_gold_test_only__drop_kyle_only,new_gold,0.15,0.1,0.6716417910447762,0.6323529411764706,0.03928884986830561,0.9,0.975609756097561,-0.07560975609756093,0.6666666666666666,0.625,0.04166666666666663,0.7659574468085106,0.7619047619047619,0.004052684903748771,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.700925925925926,0.5962059620596205,0.10471996386630544,0.9852941176470589,1.0,-0.014705882352941124
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,old_gold_test_only,old_gold,0.05,0.1,0.7066666666666667,0.7105263157894737,-0.0038596491228070073,1.0,0.9444444444444444,0.05555555555555558,0.7066666666666667,0.7285714285714285,-0.02190476190476187,0.828125,0.8225806451612904,0.005544354838709631,0.0,0.13636363636363635,-0.13636363636363635,0.6247855917667238,0.6220538720538721,0.002731719712851688,0.9868421052631579,1.0,-0.013157894736842146
codebook_no_examples_no_checklist_vs_direct,codebook_no_examples_no_checklist,direct_target_only,model_scope_optimized_in_sample,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,old_gold_test_only__drop_kyle_only,old_gold,0.05,0.1,0.7164179104477612,0.75,-0.03358208955223885,1.0,0.9795918367346939,0.020408163265306145,0.7164179104477612,0.75,-0.03358208955223885,0.8347826086956521,0.8495575221238938,-0.014774913428241665,0.0,0.15789473684210525,-0.15789473684210525,0.6156798245614036,0.6245972073039743,-0.0089173827425707,0.9852941176470589,1.0,-0.014705882352941124
