provider,condition_left,condition_right,left_only_correct,right_only_correct,discordant_pairs,mcnemar_exact_p,holm_adjusted_p
anthropic,P3_D2_CURRENT__C2_metadata,P3_D2_CURRENT__C3_plusminus1,2,6,8,0.2890625,1.0
anthropic,P3_D2_CURRENT__C2_metadata,P3_D2_CURRENT__C4_plusminus2,3,9,12,0.14599609375,1.0
anthropic,P3_D2_CURRENT__C3_plusminus1,P3_D2_CURRENT__C4_plusminus2,2,4,6,0.6875,1.0
gemini,P1_DIRECT__C1_target,P1_DIRECT__C2_metadata,1,2,3,1.0,1.0
gemini,P1_DIRECT__C1_target,P1_DIRECT__C3_plusminus1,1,3,4,0.625,1.0
gemini,P1_DIRECT__C1_target,P1_DIRECT__C4_plusminus2,2,4,6,0.6875,1.0
gemini,P1_DIRECT__C1_target,P3_D2_CURRENT__C1_target,3,1,4,0.625,1.0
gemini,P1_DIRECT__C1_target,P3_D2_CURRENT__C2_metadata,2,1,3,1.0,1.0
gemini,P1_DIRECT__C1_target,P3_D2_CURRENT__C3_plusminus1,3,1,4,0.625,1.0
gemini,P1_DIRECT__C1_target,P3_D2_CURRENT__C4_plusminus2,3,0,3,0.25,1.0
gemini,P1_DIRECT__C2_metadata,P1_DIRECT__C3_plusminus1,2,3,5,1.0,1.0
gemini,P1_DIRECT__C2_metadata,P1_DIRECT__C4_plusminus2,2,3,5,1.0,1.0
gemini,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C1_target,5,2,7,0.453125,1.0
gemini,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C2_metadata,4,2,6,0.6875,1.0
gemini,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C3_plusminus1,5,2,7,0.453125,1.0
gemini,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C4_plusminus2,5,1,6,0.21875,1.0
gemini,P1_DIRECT__C3_plusminus1,P1_DIRECT__C4_plusminus2,4,4,8,1.0,1.0
gemini,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C1_target,5,1,6,0.21875,1.0
gemini,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C2_metadata,4,1,5,0.375,1.0
gemini,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C3_plusminus1,5,1,6,0.21875,1.0
gemini,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C4_plusminus2,6,1,7,0.125,1.0
gemini,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C1_target,6,2,8,0.2890625,1.0
gemini,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C2_metadata,5,2,7,0.453125,1.0
gemini,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C3_plusminus1,7,3,10,0.34375,1.0
gemini,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C4_plusminus2,7,2,9,0.1796875,1.0
gemini,P3_D2_CURRENT__C1_target,P3_D2_CURRENT__C2_metadata,0,1,1,1.0,1.0
gemini,P3_D2_CURRENT__C1_target,P3_D2_CURRENT__C3_plusminus1,2,2,4,1.0,1.0
gemini,P3_D2_CURRENT__C1_target,P3_D2_CURRENT__C4_plusminus2,3,2,5,1.0,1.0
gemini,P3_D2_CURRENT__C2_metadata,P3_D2_CURRENT__C3_plusminus1,2,1,3,1.0,1.0
gemini,P3_D2_CURRENT__C2_metadata,P3_D2_CURRENT__C4_plusminus2,3,1,4,0.625,1.0
gemini,P3_D2_CURRENT__C3_plusminus1,P3_D2_CURRENT__C4_plusminus2,3,2,5,1.0,1.0
openai,P1_DIRECT__C1_target,P1_DIRECT__C2_metadata,1,2,3,1.0,1.0
openai,P1_DIRECT__C1_target,P1_DIRECT__C3_plusminus1,2,6,8,0.2890625,1.0
openai,P1_DIRECT__C1_target,P1_DIRECT__C4_plusminus2,1,2,3,1.0,1.0
openai,P1_DIRECT__C1_target,P3_D2_CURRENT__C1_target,3,5,8,0.7265625,1.0
openai,P1_DIRECT__C1_target,P3_D2_CURRENT__C2_metadata,4,3,7,1.0,1.0
openai,P1_DIRECT__C1_target,P3_D2_CURRENT__C3_plusminus1,3,6,9,0.5078125,1.0
openai,P1_DIRECT__C1_target,P3_D2_CURRENT__C4_plusminus2,2,6,8,0.2890625,1.0
openai,P1_DIRECT__C2_metadata,P1_DIRECT__C3_plusminus1,1,4,5,0.375,1.0
openai,P1_DIRECT__C2_metadata,P1_DIRECT__C4_plusminus2,1,1,2,1.0,1.0
openai,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C1_target,3,4,7,1.0,1.0
openai,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C2_metadata,5,3,8,0.7265625,1.0
openai,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C3_plusminus1,3,5,8,0.7265625,1.0
openai,P1_DIRECT__C2_metadata,P3_D2_CURRENT__C4_plusminus2,2,5,7,0.453125,1.0
openai,P1_DIRECT__C3_plusminus1,P1_DIRECT__C4_plusminus2,4,1,5,0.375,1.0
openai,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C1_target,7,5,12,0.7744140625,1.0
openai,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C2_metadata,8,3,11,0.2265625,1.0
openai,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C3_plusminus1,4,3,7,1.0,1.0
openai,P1_DIRECT__C3_plusminus1,P3_D2_CURRENT__C4_plusminus2,3,3,6,1.0,1.0
openai,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C1_target,4,5,9,1.0,1.0
openai,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C2_metadata,5,3,8,0.7265625,1.0
openai,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C3_plusminus1,3,5,8,0.7265625,1.0
openai,P1_DIRECT__C4_plusminus2,P3_D2_CURRENT__C4_plusminus2,2,5,7,0.453125,1.0
openai,P3_D2_CURRENT__C1_target,P3_D2_CURRENT__C2_metadata,3,0,3,0.25,1.0
openai,P3_D2_CURRENT__C1_target,P3_D2_CURRENT__C3_plusminus1,3,4,7,1.0,1.0
openai,P3_D2_CURRENT__C1_target,P3_D2_CURRENT__C4_plusminus2,2,4,6,0.6875,1.0
openai,P3_D2_CURRENT__C2_metadata,P3_D2_CURRENT__C3_plusminus1,2,6,8,0.2890625,1.0
openai,P3_D2_CURRENT__C2_metadata,P3_D2_CURRENT__C4_plusminus2,2,7,9,0.1796875,1.0
openai,P3_D2_CURRENT__C3_plusminus1,P3_D2_CURRENT__C4_plusminus2,1,2,3,1.0,1.0
